Link,Subject,University,Location,Beginning,Tuition Fees per Semester,Language,Duration,Application Deadline
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4258/,Master of Science in Artificial Intelligence and Machine Learning,Technical University of Darmstadt •,Darmstadt,"Winter semester, Summer semester",none,English,4 semesters,15 July for the following winter semester15 January for the following summer semesterDates for the entrance exam:August or September for the subsequent winter semesterFebruary or March for the subsequent summer semesterDeadlines for the submission of external test results:August for the following winter semesterFebruary for the following summer semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8352/,Computational Sciences,University of Cologne •,Köln,Winter semester,none,English,4 semesters,"15 July for the following winter semester (starting in October)Application opens beginning of JunePlease note thatcandidates who did not complete their secondary education in Germanymust request a preliminary review documentation (VPD) from uni-assist(recommendation: please apply for the VPD as early as possible, at least three weeks prior to the application deadline of UoC)."
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8322/,Artificial Intelligence,Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,"Winter semester, Summer semester",none,English,4 semesters,Applicants without European Union/European Economic Area citizenship: 15 July for the following winter semester and 15 January for the following summer semesterApplicants with European Union/European Economic Area citizenship: 31 August for the following winter semester and 1 March for the following summer semesterPlease be sure to checkhttps://www.b-tu.de/en/artificial-intelligence-ms/admissionfor updates and further details.
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8265/,Digital Engineering,Bauhaus-Universität Weimar •,Weimar,"Winter semester, Summer semester",none,English,4 semesters,Applicants who graduated outside of Europe: 15 July for the following winter semester or 15 January for the following summer semesterApplicants who graduated in Europe and do not need a visa: 30 September for the following winter semester or 31 March for the following summer semesterPlease note: Current information on application modalities and deadlines can be found onour website.
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6146/,Information and Communication Technology MSc,FAU Erlangen-Nürnberg •,Erlangen,"Winter semester, Summer semester",none,English,4 semesters,Winter semester: 15 JulySummer semester: 15 January
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3747/,Information and Communication Systems,Hamburg University of Technology •,Hamburg,Winter semester,none,English,4 semesters,01-Mar
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8417/,Master of Science in Software Engineering (MSc),University of Hildesheim •,Hildesheim,"Winter semester, Summer semester",none,English,4 semesters,Non-EU applicants: 30 June for the following winter semesterEU applicants: 31 August for the following winter semesterNon-EU applicants: 15 December for the following summer semesterEU applicants: 15 February for the following summer semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7026/,International Master of Science in Quantum Engineering,Julius-Maximilians-Universität Würzburg •,Würzburg,"Winter semester, Summer semester",none,English,4 semesters,"For all applicants:15 March for the following winter semester31 October of the previous year for the following summer semesterPlease note:PleaseONLYfollow the detailed instructions for your application, which are described on our websitehttps://www.physik.uni-wuerzburg.de/international/(see ""Apply now for the next semester"").YouDO NOTneed to provide a preliminary review documentation (VPD) fromuni-assistto apply for the Master's programmes in “Physics International"" and “Quantum Engineering”.Despite the above mentioned deadlines,allapplications are reviewedby the admissions committeeon a rolling basis when receivedand a decision on admission can be expected within two months."
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4429/,Master's Degree in Data & Knowledge Engineering (MDKE),Otto von Guericke University Magdeburg •,Magdeburg,"Winter semester, Summer semester",none,English,4 semesters,Winter semester: 15 May (international applicants)Summer semester: 15 November (international applicants)Dates may differ for the current semester; please check the programme website.
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6910/,Computational Science,University of Regensburg •,Regensburg,"Winter semester, Summer semester",none,English,4 semesters,15 January for the following summer semester15 June for the following winter semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3876/,Master's in Media and Communication Science,Technische Universität Ilmenau •,Ilmenau,Winter semester,none,English,4 semesters,"Application period for students with certificates from non-EEA / international countries: 16 January - 15 MayApplication period for students with certificates from EEA countries, Switzerland, or the UK: 16 April – 15 September"
